order,round,version,benchmark,seconds,output_ok,output
1,1,rust-same-std,b3,0.068372,True,first 1000000 | last 1 | weighted 166667166667000000
2,1,koka-box,b3,0.140019,True,first 1000000 | last 1 | weighted 166667166667000000
3,1,rust-same-std,b4,0.312899,True,first 37 | last 554962791 | sum-mod 491625299
4,1,koka-keep,b2,0.2127,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002 | snapshot-count 500000 | snapshot-sum 249986389805
5,1,koka-helper,b3,0.138188,True,first 1000000 | last 1 | weighted 166667166667000000
6,1,rust-same-mimalloc,b2,0.261773,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
7,1,rust-best-std,b3,0.016801,True,first 1000000 | last 1 | weighted 166667166667000000
8,1,rust-best-mimalloc,b1,0.015725,True,sum 500100500000 | first 101 | last 1000100
9,1,rust-same-mimalloc,b3,0.133743,True,first 1000000 | last 1 | weighted 166667166667000000
10,1,koka-box,b1,0.136341,True,sum 500100500000 | first 101 | last 1000100
11,1,koka,b2,0.218897,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
12,1,rust-best-mimalloc,b2,0.084294,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
13,1,rust-best-std,b1,0.015782,True,sum 500100500000 | first 101 | last 1000100
14,1,rust-best-mimalloc,b3,0.016528,True,first 1000000 | last 1 | weighted 166667166667000000
15,1,rust-same-mimalloc,b1,0.164067,True,sum 500100500000 | first 101 | last 1000100
16,1,koka-box,b4,0.550079,True,first 37 | last 554962791 | sum-mod 491625299
17,1,koka,b3,0.138329,True,first 1000000 | last 1 | weighted 166667166667000000
18,1,rust-same-std,b2,0.284374,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
19,1,koka-helper,b2,0.218662,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
20,1,koka-box,b2,0.21283,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
21,1,rust-best-std,b4,0.294317,True,first 37 | last 554962791 | sum-mod 491625299
22,1,koka-keep,b4,0.559215,True,first 37 | last 554962791 | sum-mod 491625299 | original-sum 499500000
23,1,koka-helper,b1,0.137127,True,sum 500100500000 | first 101 | last 1000100
24,1,rust-best-mimalloc,b4,0.291103,True,first 37 | last 554962791 | sum-mod 491625299
25,1,koka,b4,0.54578,True,first 37 | last 554962791 | sum-mod 491625299
26,1,rust-same-std,b1,0.171341,True,sum 500100500000 | first 101 | last 1000100
27,1,koka-keep,b3,0.143774,True,first 1000000 | last 1 | weighted 166667166667000000 | original-weighted 333333833333500000
28,1,rust-same-mimalloc,b4,0.309821,True,first 37 | last 554962791 | sum-mod 491625299
29,1,koka,b1,0.140175,True,sum 500100500000 | first 101 | last 1000100
30,1,koka-keep,b1,0.145942,True,sum 500100500000 | first 101 | last 1000100 | original-sum 500000500000
31,1,koka-helper,b4,0.571347,True,first 37 | last 554962791 | sum-mod 491625299
32,1,rust-best-std,b2,0.086312,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
33,2,rust-same-mimalloc,b1,0.16249,True,sum 500100500000 | first 101 | last 1000100
34,2,rust-best-mimalloc,b3,0.01684,True,first 1000000 | last 1 | weighted 166667166667000000
35,2,koka,b2,0.218493,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
36,2,koka-helper,b1,0.13736,True,sum 500100500000 | first 101 | last 1000100
37,2,koka,b1,0.137334,True,sum 500100500000 | first 101 | last 1000100
38,2,rust-best-std,b1,0.016063,True,sum 500100500000 | first 101 | last 1000100
39,2,koka-box,b3,0.137704,True,first 1000000 | last 1 | weighted 166667166667000000
40,2,koka,b3,0.137756,True,first 1000000 | last 1 | weighted 166667166667000000
41,2,rust-best-std,b2,0.086059,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
42,2,koka-box,b4,0.562611,True,first 37 | last 554962791 | sum-mod 491625299
43,2,rust-best-mimalloc,b2,0.084333,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
44,2,rust-same-mimalloc,b3,0.130955,True,first 1000000 | last 1 | weighted 166667166667000000
45,2,koka-keep,b2,0.210004,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002 | snapshot-count 500000 | snapshot-sum 249986389805
46,2,rust-best-std,b4,0.299599,True,first 37 | last 554962791 | sum-mod 491625299
47,2,koka-helper,b3,0.137747,True,first 1000000 | last 1 | weighted 166667166667000000
48,2,rust-same-mimalloc,b4,0.305173,True,first 37 | last 554962791 | sum-mod 491625299
49,2,rust-best-std,b3,0.016704,True,first 1000000 | last 1 | weighted 166667166667000000
50,2,rust-same-std,b1,0.171096,True,sum 500100500000 | first 101 | last 1000100
51,2,koka-helper,b4,0.559065,True,first 37 | last 554962791 | sum-mod 491625299
52,2,rust-best-mimalloc,b4,0.297964,True,first 37 | last 554962791 | sum-mod 491625299
53,2,koka-keep,b1,0.1421,True,sum 500100500000 | first 101 | last 1000100 | original-sum 500000500000
54,2,koka-helper,b2,0.211868,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002
