order,round,version,seconds,output_ok
1,1,rust-same-mimalloc,0.284861,True
2,1,koka-int,0.532352,True
3,1,koka-int64,0.316965,True
4,2,koka-int64,0.317082,True
5,2,rust-same-mimalloc,0.28609,True
6,2,koka-int,0.532923,True
7,3,koka-int,0.549038,True
8,3,rust-same-mimalloc,0.295858,True
9,3,koka-int64,0.321953,True
10,4,rust-same-mimalloc,0.291807,True
11,4,koka-int,0.544918,True
12,4,koka-int64,0.336743,True
13,5,koka-int64,0.318688,True
14,5,koka-int,0.53192,True
15,5,rust-same-mimalloc,0.286145,True
16,6,koka-int64,0.31702,True
17,6,rust-same-mimalloc,0.284242,True
18,6,koka-int,0.539548,True
19,7,koka-int64,0.343279,True
20,7,koka-int,0.561041,True
21,7,rust-same-mimalloc,0.285694,True
22,8,koka-int64,0.319887,True
23,8,koka-int,0.561247,True
24,8,rust-same-mimalloc,0.288538,True
25,9,koka-int,0.536523,True
26,9,koka-int64,0.326437,True
27,9,rust-same-mimalloc,0.287578,True
28,10,rust-same-mimalloc,0.287022,True
29,10,koka-int64,0.329608,True
30,10,koka-int,0.532781,True
