order,round,program,benchmark,seconds,peak_bytes,exit_code,timed_out,output_ok,output,stderr_tail
1,0,helper,b1,0.34764979100145865,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
2,0,helper,b2,0.4658897089975653,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
3,0,helper,b3,0.33307470900035696,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
4,0,helper,b4,0.4784792920036125,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
5,0,helper,share-b1,0.8316087080020225,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
6,0,rust-same,b1,0.3430019999941578,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
7,0,rust-same,b2,0.4344727080024313,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
8,0,rust-same,b3,0.3045211249991553,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
9,0,rust-same,b4,0.45123125000100117,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
10,0,koka,b1,0.3498315830001957,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
11,0,koka,b2,0.43072599999868544,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
12,0,koka,b3,0.33796358299878193,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
13,0,koka,b4,0.7661467079960858,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
14,0,koka,share-b1,0.7287609580016579,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
15,1,koka,b1,0.13728166700457223,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
16,1,rust-same,b1,0.1643916250031907,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
17,1,koka,b3,0.14242841600207612,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
18,1,rust-same,b3,0.13446062500588596,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
19,1,rust-same,b4,0.3120044169991161,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
20,1,koka,b2,0.22241654100071173,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
