order,round,program,benchmark,seconds,peak_bytes,exit_code,timed_out,output_ok,output,stderr_tail
1,0,helper,b1,0.35028729099576594,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
2,0,helper,b2,0.43858966700645396,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
3,0,helper,b3,0.3346054590001586,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
4,0,helper,b4,0.47300691599957645,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
5,0,helper,share-b1,0.8446898749971297,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
6,0,rust-same,b1,0.33941766699717846,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
7,0,rust-same,b2,0.42318595799588365,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
8,0,rust-same,b3,0.30314987499878043,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
9,0,rust-same,b4,0.4659447079975507,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
10,0,koka,b1,0.35515654199843993,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
11,0,koka,b2,0.40429883299657376,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
12,0,koka,b3,0.34598233299766434,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
13,0,koka,b4,0.7782462500035763,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
14,0,koka,share-b1,0.7284049590016366,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
15,1,koka,b3,0.13771900000574533,26607616,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
16,1,koka,share-b1,0.508881375004421,68730880,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
17,1,koka,b4,0.5699375000040163,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
18,1,helper,b2,0.28660941700218245,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
19,1,koka,b2,0.21170949999941513,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
20,1,helper,b3,0.15558374999818625,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
21,1,koka,b1,0.13622475000011036,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
22,1,helper,b4,0.30619941699842457,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
23,1,helper,b1,0.17223999999987427,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
