order,round,program,benchmark,seconds,peak_bytes,exit_code,timed_out,output_ok,output,stderr_tail
1,0,helper,b1,0.33981816700543277,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
2,0,helper,b2,0.46526812500087544,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
3,0,helper,b3,0.3299548750001122,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
4,0,helper,b4,0.46766666699841153,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
5,0,helper,share-b1,0.8296878330002073,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
6,0,rust-same,b1,0.32984516700526,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
7,0,rust-same,b2,0.42310749999887776,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
8,0,rust-same,b3,0.30421058399952017,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
9,0,rust-same,b4,0.44963650000136113,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
10,0,koka,b1,0.34710691700456664,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
11,0,koka,b2,0.4369959169998765,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
12,0,koka,b3,0.32883941599720856,26624000,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
13,0,koka,b4,0.7524009160042624,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
14,0,koka,share-b1,0.7225849999958882,68747264,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
15,1,koka,share-b1,0.5117577920027543,68747264,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
16,1,koka,b1,0.1409752089966787,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
17,1,koka,b3,0.141900667003938,26624000,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
18,1,helper,b3,0.1573452080046991,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
19,1,koka,b4,0.5708774999948218,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
20,1,koka,b2,0.22371129199746065,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
21,1,rust-same,b3,0.13247608399979072,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
22,1,rust-same,b4,0.30497987499984447,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
23,1,helper,b1,0.17140474999905564,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
24,1,rust-same,b1,0.16457787500257837,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
25,1,rust-same,b2,0.2731331670001964,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
26,1,helper,b4,0.3170915419977973,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
27,1,helper,share-b1,0.6591312919990742,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
28,1,helper,b2,0.2880248750007013,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
29,2,koka,b3,0.13799191699945368,26624000,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
30,2,helper,b2,0.28803354199772,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
31,2,koka,b2,0.2117414170061238,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
32,2,rust-same,b3,0.1340266659972258,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
33,2,helper,share-b1,0.6506395000033081,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
34,2,helper,b3,0.1561863329989137,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
35,2,helper,b4,0.30663416699826485,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
36,2,rust-same,b1,0.16306183399865404,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
37,2,helper,b1,0.17121566599962534,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
38,2,koka,share-b1,0.5150712089962326,68747264,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
39,2,koka,b4,0.5569599160007783,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
40,2,koka,b1,0.13683304200094426,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
41,2,rust-same,b4,0.3023755419999361,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
42,2,rust-same,b2,0.2600450840036501,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
43,3,helper,b2,0.28600004199688556,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
44,3,rust-same,b2,0.2591660000034608,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
45,3,koka,share-b1,0.5140654999995604,68747264,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
46,3,helper,b1,0.17211274999863235,34160640,0,False,True,sum 500100500000 | first 101 | last 1000100,
47,3,helper,b3,0.15553429199644597,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
48,3,rust-same,b4,0.3005190840049181,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
49,3,koka,b2,0.2133123749954393,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
50,3,koka,b1,0.13679683300142642,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
51,3,rust-same,b3,0.12931474999641068,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
52,3,koka,b4,0.56477495800209,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
53,3,koka,b3,0.13770099999965169,26624000,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
54,3,helper,b4,0.30626179100363515,34177024,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
55,3,rust-same,b1,0.1627230000012787,18087936,0,False,True,sum 500100500000 | first 101 | last 1000100,
56,3,helper,share-b1,0.6565836250010761,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
57,4,koka,b3,0.13930170799721964,26624000,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
58,4,koka,b1,0.13748491700243903,26624000,0,False,True,sum 500100500000 | first 101 | last 1000100,
59,4,helper,share-b1,0.6491144579995307,68288512,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
60,4,helper,b2,0.28506566699797986,68288512,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
61,4,koka,b2,0.2318362919977517,54476800,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
62,4,rust-same,b4,0.3135801669995999,18087936,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
63,4,helper,b3,0.16030862500338117,34160640,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
64,4,rust-same,b3,0.1347849169978872,18087936,0,False,True,first 1000000 | last 1 | weighted 166667166667000000,
65,4,koka,b4,0.5670695840017288,26640384,0,False,True,first 37 | last 554962791 | sum-mod 491625299,
66,4,koka,share-b1,0.5120837909998954,68747264,0,False,True,sum 500100500000 | first 101 | last 1000100 | rounds-differ 100 | prev-sum 500099500000,
67,4,rust-same,b2,0.26068374999886146,34406400,0,False,True,count 1000000 | sum 499999547508 | smallest 0 | largest 1000002,
